no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
1,J000007.63+420725.51,0.03179166667,42.12375278,NON-DETECTION,0,,
2,J000010.29-363405.26,0.042875,-36.56812778,COMPACT,0,,
3,J000056.23-082742.05,0.2342916667,-8.461680556,COMPACT,0,,
4,J000116.38+293534.59,0.31825,29.59294167,COMPACT,0,,
5,J000126.44+733042.60,0.3601666667,73.51183333,COMPACT,0,,
6,J000137.86-103727.33,0.40775,-10.62425833,COMPACT,0,,
7,J000147.28+455015.27,0.447,45.837575,COMPACT,0,,
8,J000236.07-081532.42,0.6502916667,-8.259005556,COMPACT,0,,
9,J000303.00-105638.18,0.7625,-10.94393889,COMPACT,0,,
10,J000311.94-070144.34,0.79975,-7.028983333,COMPACT,0,,
11,J000312.73-042728.54,0.8030416667,-4.457927778,COMPACT,0,,
12,J000319.28+430303.42,0.8303333333,43.05095,COMPACT,0,,
13,J000359.23+084138.15,0.9967916667,8.693930556,COMPACT,0,,
14,J000448.98-350023.97,1.204083333,-35.00665833,COMPACT,0,,
15,J000449.15-334050.25,1.204791667,-33.680625,1-SIDE SEPARATED,0,,
16,J000503.30-104421.35,1.26375,-10.73926389,COMPACT,0,,
17,J000541.36-331024.67,1.422333333,-33.17351944,NON-DETECTION,0,,
18,J000547.99-084329.10,1.449958333,-8.72475,COMPACT,0,,
19,J000548.24+285512.55,1.451,28.92015278,COMPACT_D,0,,
20,J000605.88-365358.54,1.5245,-36.89959444,COMPACT,0,,
21,J000614.44-181219.45,1.560166667,-18.20540278,COMPACT,0,,
22,J000626.18-141334.02,1.609083333,-14.22611667,COMPACT,0,,
23,J000629.15+472001.85,1.621458333,47.33384722,COMPACT,0,,
24,J000640.84-332348.17,1.670166667,-33.39671389,VISUAL NEEDED,1,COMPACT,
25,J000652.35+461816.98,1.718125,46.30471667,COMPACT,0,,
26,J000710.65-032029.48,1.794375,-3.341522222,COMPACT,0,,
27,J000718.87+174534.66,1.828625,17.75962778,COMPACT,0,,
28,J000730.82+160732.69,1.878416667,16.12574722,COMPACT,0,,
29,J000805.51-182451.50,2.022958333,-18.41430556,COMPACT,0,,
30,J000812.59+250810.73,2.052458333,25.13631389,COMPACT,0,,
31,J000823.71-245348.25,2.098791667,-24.89673611,COMPACT,0,,
32,J000832.69-271532.42,2.136208333,-27.25900556,COMPACT,0,,
33,J000834.93-124004.34,2.145541667,-12.66787222,COMPACT,0,,
34,J000841.59+141037.58,2.173291667,14.17710556,COMPACT,0,,
35,J000847.20-062433.70,2.196666667,-6.409361111,COMPACT,0,,
36,J000905.03-113947.87,2.270958333,-11.66329722,NON-DETECTION,0,,
37,J000920.73-141410.69,2.336375,-14.23630278,COMPACT,0,,
38,J000923.73+313320.41,2.348875,31.55566944,COMPACT,0,,
39,J000950.48+422258.60,2.460333333,42.38294444,COMPACT_offset,0,,
40,J000954.78+281226.00,2.47825,28.20722222,COMPACT,0,,
41,J001005.87+445416.94,2.524458333,44.90470556,COMPACT,0,,
42,J001011.71+334851.55,2.548791667,33.81431944,COMPACT,0,,
43,J001034.00-250449.48,2.641666667,-25.08041111,COMPACT,0,,
44,J001052.75+350051.15,2.719791667,35.01420833,COMPACT,0,,
45,J001145.10+251818.18,2.937916667,25.30505,VISUAL NEEDED,1,COMPACT,
46,J001146.75+101528.45,2.944791667,10.25790278,COMPACT,0,,
47,J001225.79+513827.80,3.107458333,51.64105556,COMPACT,0,,
48,J001229.31-262319.34,3.122125,-26.38870556,COMPACT,0,,
49,J001243.03-161431.70,3.179291667,-16.24213889,COMPACT,0,,
50,J001308.79-254658.25,3.286625,-25.78284722,NON-DETECTION,0,,
51,J001327.33+015221.38,3.363875,1.872605556,COMPACT,0,,
52,J001328.81+094930.58,3.370041667,9.825161111,COMPACT,0,,
53,J001330.77+461902.91,3.378208333,46.317475,COMPACT,0,,
54,J001331.14-210705.56,3.37975,-21.11821111,NON-DETECTION,0,,
55,J001348.11+354327.51,3.450458333,35.72430833,COMPACT,0,,
56,J001412.68+411335.24,3.552833333,41.22645556,COMPACT,0,,
57,J001426.70+104727.02,3.61125,10.79083889,COMPACT,0,,
58,J001431.67+415605.58,3.631958333,41.93488333,NON-DETECTION,0,,
59,J001442.17+355414.26,3.675708333,35.90396111,NON-DETECTION,0,,
60,J001453.94+512406.87,3.72475,51.40190833,COMPACT,0,,
61,J001459.85-280719.40,3.749375,-28.12205556,COMPACT,0,,
62,J001502.30+364915.66,3.759583333,36.82101667,COMPACT,0,,
63,J001510.55+190229.08,3.793958333,19.04141111,COMPACT,0,,
64,J001527.97+353639.61,3.866541667,35.61100278,COMPACT,0,,
65,J001550.05-243014.39,3.958541667,-24.50399722,COMPACT,0,,
66,J001553.66+352729.56,3.973583333,35.45821111,COMPACT,0,,
67,J001601.70+492832.99,4.007083333,49.47583056,COMPACT,0,,
68,J001625.20-101610.03,4.105,-10.26945278,NON-DETECTION,0,,
69,J001654.73+430354.03,4.228041667,43.06500833,COMPACT,0,,
70,J001702.39+835953.93,4.259958333,83.99831389,COMPACT,0,,
71,J001706.61-303843.92,4.277541667,-30.64553333,COMPACT,0,,
72,J001709.34-234946.05,4.288916667,-23.82945833,COMPACT,0,,
73,J001713.11+130554.37,4.304625,13.09843611,COMPACT,0,,
74,J001722.14+331329.99,4.34225,33.22499722,COMPACT,0,,
75,J001726.48+780829.04,4.360333333,78.1414,COMPACT,0,,
76,J001735.41+152926.73,4.397541667,15.49075833,COMPACT,0,,
77,J001752.63-353818.30,4.469291667,-35.63841667,VISUAL NEEDED,1,COMPACT,
78,J001825.32+805550.25,4.6055,80.930625,COMPACT,0,,
79,J001826.97+111243.50,4.612375,11.21208333,COMPACT,0,,
