no.,name,ra,dec,class,visual_flag,visual_class
1,S4 0003+38,1.48823,38.33754,COMPACT,0,
2,NRAO 005,1.55789,-6.39315,COMPACT,0,
3,CRATES J0009+0628,2.26638,6.47257,COMPACT,0,
4,III Zw 2,2.62919,10.97486,COMPACT,0,
5,4C +40.01,3.37971,40.86032,2-SIDE EXTENDED,1,
6,RGB J0013+191,3.4849,19.17831,COMPACT,0,
7,S5 0014+813,4.28531,81.58559,COMPACT,0,
8,PMN J0017-0512,4.39924,-5.2116,COMPACT,0,
9,S5 0016+73,4.94078,73.45834,COMPACT,0,
10,PKS 0019+058,5.63517,6.13452,COMPACT,0,
11,PKS 0027+056,7.44123,5.91131,COMPACT,0,
12,B3 0035+413,9.60352,41.61833,COMPACT,0,
13,GB6 J0047+5657,11.75179,56.96178,COMPACT,0,
14,PKS 0048-09,12.67216,-9.48478,COMPACT,0,
15,OB -082,12.78421,-6.83395,COMPACT,0,
16,NGC 315,14.45368,30.35245,1-SIDE EXTENDED,0,
17,TXS 0059+581,15.69068,58.40309,COMPACT,0,
18,4C +01.02,17.1615,1.5834,COMPACT,0,
19,TXS 0106+612,17.4431,61.55846,COMPACT,0,
20,4C +67.04,17.55364,68.09478,2-SIDE EXTENDED,1,
21,CGRABS J0111+3906,17.90549,39.10781,COMPACT,0,
22,S2 0109+22,18.02427,22.74411,COMPACT,0,
23,B2 0109+35,18.05394,35.37204,COMPACT,0,
24,4C +31.03,18.20972,32.13818,COMPACT,0,
25,UGC 00773,18.42977,2.37148,COMPACT,0,
26,PKS 0113-118,19.05219,-11.6043,COMPACT,0,
27,OC -228,19.73859,-21.69171,COMPACT,0,
28,OC -230.4,20.13193,-27.02351,COMPACT,0,
29,PKS 0119+11,20.42331,11.83067,COMPACT,0,
30,UM 321,21.37018,-0.09887,COMPACT,0,
31,TXS 0128+554,22.80762,55.75356,COMPACT,0,
32,OC -150,23.1812,-16.91349,COMPACT,0,
33,B3 0133+388,24.13583,39.09978,COMPACT,0,
34,DA 55,24.24414,47.85808,COMPACT,0,
35,PKS 0136+176,24.92491,17.88543,COMPACT,0,
36,PKS 0139-09,25.35763,-9.4788,2-SIDE EXTENDED,1,COMPACT
37,TXS 0141+268,26.13978,27.08419,COMPACT,0,
38,OC -270,26.26414,-27.55954,COMPACT,0,
39,PKS 0149+21,28.07525,22.11881,COMPACT_D,0,
40,GB6 J0154+0823,28.51154,8.39752,COMPACT,0,
41,S5 0159+723,30.8891,72.54824,COMPACT,0,
42,NVSS J020344+304238,30.93375,30.71058,COMPACT,0,
43,4C +15.05,31.21006,15.2364,COMPACT,0,
44,PKS 0202-17,31.2403,-17.02215,COMPACT,0,
45,B2 0202+31,31.27052,32.20836,COMPACT,0,
46,PMN J0206-1150,31.60869,-11.84437,2-SIDE EXTENDED,1,COMPACT
47,MG1 J021114+1051,32.80491,10.85967,COMPACT,0,
48,TXS 0210+515,33.57473,51.74776,COMPACT,0,
49,PMN J0217+0837,34.32135,8.61775,COMPACT,0,
50,OD 026,34.45398,1.74714,COMPACT,0,
51,3C 66A,35.66505,43.03552,2-SIDE EXTENDED,1,
52,4C +67.05,37.20855,67.35084,COMPACT,0,
53,4C +13.14,37.94122,13.38187,COMPACT,0,
54,4C +28.07,39.46836,28.8025,COMPACT,0,
55,AO 0235+164,39.66221,16.61647,COMPACT,0,
56,NGC 1052,40.26999,-8.25576,COMPACT,0,
57,S5 0238+711,40.87871,71.33831,COMPACT,0,
