no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
1,S4 0003+38,1.48823,38.33754,COMPACT,0,,
2,NRAO 005,1.55789,-6.39315,COMPACT,0,,
3,4C +40.01,3.37971,40.86032,2-SIDE EXTENDED,1,,
4,RGB J0013+191,3.4849,19.17831,COMPACT,0,,
5,S5 0014+813,4.28531,81.58559,COMPACT,0,,
6,PMN J0017-0512,4.39924,-5.2116,COMPACT,0,,
7,S5 0016+73,4.94078,73.45834,COMPACT,0,,
8,PKS 0019+058,5.63517,6.13452,COMPACT,0,,
9,PKS 0027+056,7.44123,5.91131,COMPACT,0,,
10,B3 0035+413,9.60352,41.61833,COMPACT,0,,
11,GB6 J0047+5657,11.75179,56.96178,COMPACT,0,,
12,PKS 0048-09,12.67216,-9.48478,COMPACT,0,,
13,OB -082,12.78421,-6.83395,COMPACT,0,,
14,TXS 0059+581,15.69068,58.40309,COMPACT,0,,
15,4C +01.02,17.1615,1.5834,COMPACT,0,,EP02
16,TXS 0106+612,17.4431,61.55846,COMPACT,0,,
17,4C +67.04,17.55364,68.09478,2-SIDE EXTENDED,1,,
18,S2 0109+22,18.02427,22.74411,COMPACT,0,,
19,B2 0109+35,18.05394,35.37204,COMPACT,0,,
20,4C +31.03,18.20972,32.13818,COMPACT,0,,
21,UGC 00773,18.42977,2.37148,COMPACT,0,,
22,PKS 0113-118,19.05219,-11.6043,COMPACT,0,,
23,OC -228,19.73859,-21.69171,COMPACT,0,,
24,OC -230.4,20.13193,-27.02351,COMPACT,0,,
25,PKS 0119+11,20.42331,11.83067,COMPACT,0,,EP02
26,UM 321,21.37018,-0.09887,COMPACT,0,,
27,OC -150,23.1812,-16.91349,COMPACT,0,,
28,DA 55,24.24414,47.85808,COMPACT,0,,EP01
29,PKS 0136+176,24.92491,17.88543,COMPACT,0,,
30,PKS 0139-09,25.35763,-9.4788,2-SIDE EXTENDED,1,COMPACT,
31,TXS 0141+268,26.13978,27.08419,COMPACT,0,,
32,OC -270,26.26414,-27.55954,COMPACT,0,,
33,PKS 0149+21,28.07525,22.11881,COMPACT_D,0,,
34,GB6 J0154+0823,28.51154,8.39752,COMPACT,0,,
35,S5 0159+723,30.8891,72.54824,COMPACT,0,,
36,4C +15.05,31.21006,15.2364,COMPACT,0,,
37,PKS 0202-17,31.2403,-17.02215,COMPACT,0,,
38,B2 0202+31,31.27052,32.20836,COMPACT,0,,
39,PMN J0206-1150,31.60869,-11.84437,2-SIDE EXTENDED,1,COMPACT,
40,TXS 0210+515,33.57473,51.74776,COMPACT,0,,
41,PMN J0217+0837,34.32135,8.61775,COMPACT,0,,
42,S5 0212+73,34.37839,73.82573,COMPACT,0,,EP02
43,OD 026,34.45398,1.74714,COMPACT,0,,
44,3C 66A,35.66505,43.03552,2-SIDE EXTENDED,1,,
45,4C +67.05,37.20855,67.35084,COMPACT,0,,
46,4C +13.14,37.94122,13.38187,COMPACT,0,,EP02
47,4C +28.07,39.46836,28.8025,COMPACT,0,,EP02
48,S5 0238+711,40.87871,71.33831,COMPACT,0,,
49,TXS 0241+622,41.2404,62.46848,2-SIDE EXTENDED,1,COMPACT,
50,B3 0248+430,42.8939,43.2544,COMPACT,0,,
51,OD -283,43.19981,-22.32374,COMPACT,0,,
52,OD 94.7,44.86282,7.79435,COMPACT,0,,
53,PKS 0301-243,45.86042,-24.11986,2-SIDE EXTENDED,1,,
54,4C +47.08,45.89684,47.27119,COMPACT,0,,EP02
