no.,name,ra,dec,class,visual_flag,visual_class
1,J000020.39-322101.00,0.08495833333,-32.35027778,COMPACT_D,0,
2,J000105.29-155106.98,0.2720416667,-15.85193889,COMPACT,0,
3,J000108.62+191434.18,0.2859166667,19.24282778,COMPACT,0,
4,J000118.00-074626.68,0.325,-7.774077778,COMPACT,0,
5,J000121.48-001139.91,0.3395,-0.1944194444,1-SIDE EXTENDED,0,
6,J000157.25-103117.29,0.4885416667,-10.52146944,COMPACT,0,
7,J000257.16-002447.08,0.7381666667,-0.4130777778,2-SIDE EXTENDED,1,COMPACT
8,J000319.33+212944.59,0.8305416667,21.49571944,COMPACT,0,
9,J000404.87-114857.99,1.020291667,-11.81610833,2-SIDE EXTENDED,1,
10,J000416.17+461518.21,1.067375,46.25505833,COMPACT_D,0,
11,J000435.75+201942.59,1.148958333,20.32849722,COMPACT_D,0,
12,J000517.93-164804.71,1.324708333,-16.80130833,COMPACT_D,0,
13,J000520.21+052410.90,1.334208333,5.403027778,COMPACT_D,0,
14,J000557.18+382015.21,1.48825,38.33755833,COMPACT_D,0,
15,J000613.89-062335.19,1.557875,-6.393108333,COMPACT_D,0,
16,J000620.28+105151.69,1.5845,10.86435833,COMPACT,0,
17,J000648.78+242236.51,1.70325,24.37680833,COMPACT,0,
18,J000759.97+471207.70,1.999875,47.20213889,COMPACT,0,
19,J000800.36-233917.89,2.0015,-23.65496944,COMPACT_D,0,
20,J000835.38-233927.79,2.147416667,-23.65771944,COMPACT,0,
21,J000903.91+062821.39,2.266291667,6.472608333,COMPACT,0,
22,J000917.04+062554.69,2.321,6.431858333,COMPACT,0,
23,J000922.77+503028.58,2.344875,50.50793889,COMPACT,0,
24,J001028.74+204750.09,2.61975,20.79724722,COMPACT,0,
25,J001031.00+105829.60,2.629166667,10.97488889,COMPACT_D,0,
26,J001033.99+172419.00,2.641625,17.40527778,COMPACT,0,
27,J001035.71-302747.41,2.648791667,-30.46316944,COMPACT_D,0,
28,J001045.18-294513.21,2.68825,-29.75366944,COMPACT_D,0,
29,J001101.21-261232.00,2.755041667,-26.20888889,COMPACT_D,0,
30,J001114.71-362039.40,2.811291667,-36.34427778,COMPACT_D,0,
31,J001130.40+005751.98,2.876666667,0.9644388889,COMPACT,0,
32,J001233.85-162807.28,3.141041667,-16.46868889,COMPACT,0,
33,J001247.35+335338.61,3.197291667,33.89405833,COMPACT,0,
34,J001259.87-395425.81,3.249458333,-39.90716944,COMPACT_D,0,
35,J001320.70-151347.20,3.33625,-15.22977778,COMPACT,0,
