no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
1,J000020.40-322101.24,0.085,-32.35034444,COMPACT_D,0,,
2,J000029.08-163620.24,0.1211666667,-16.60562222,COMPACT,0,,
3,J000047.05+312028.21,0.1960416667,31.34116944,COMPACT,0,,
4,J000101.05+240842.52,0.254375,24.14514444,COMPACT,0,,
5,J000105.29-155107.21,0.2720416667,-15.85200278,COMPACT,0,,
6,J000108.12-373857.15,0.2838333333,-37.64920833,COMPACT,0,,
7,J000118.02-074626.90,0.3250833333,-7.774138889,COMPACT,0,,
8,J000121.38+444027.24,0.3390833333,44.67423333,COMPACT,0,,
9,J000131.64+165413.80,0.3818333333,16.90383333,COMPACT,0,,
10,J000132.22+135258.47,0.38425,13.88290833,COMPACT,0,,
11,J000132.34+240230.40,0.38475,24.04177778,COMPACT,0,,
12,J000132.83+145607.96,0.3867916667,14.93554444,1-SIDE EXTENDED,0,,
13,J000137.08+431543.92,0.4045,43.2622,COMPACT,0,,
14,J000156.57+554726.02,0.4857083333,55.79056111,COMPACT,0,,
15,J000204.60-392111.44,0.5191666667,-39.35317778,1-SIDE SEPARATED,0,,
16,J000211.98-215310.00,0.5499166667,-21.88611111,COMPACT,0,,
17,J000212.81-361754.35,0.553375,-36.29843056,COMPACT,0,,
18,J000221.85+575352.19,0.5910416667,57.89783056,COMPACT,0,,
19,J000225.71-074332.74,0.607125,-7.725761111,1-SIDE SEPARATED,0,,
20,J000237.09+105203.61,0.6545416667,10.86766944,1-SIDE SEPARATED,0,,
21,J000249.26+303241.57,0.70525,30.54488056,COMPACT_D,0,,
22,J000301.16+183759.07,0.7548333333,18.633075,COMPACT,0,,
23,J000301.83-062659.62,0.757625,-6.449894444,COMPACT,0,,
24,J000314.97+021457.65,0.812375,2.249347222,COMPACT,0,,
25,J000318.67-192722.33,0.8277916667,-19.45620278,COMPACT,0,,
26,J000329.01-161133.40,0.870875,-16.19261111,COMPACT,0,,
27,J000339.83+552421.50,0.9159583333,55.40597222,COMPACT,0,,
28,J000341.07+130635.42,0.921125,13.10983889,COMPACT,0,,
29,J000342.81-115148.20,0.928375,-11.86338889,1-SIDE SEPARATED,0,,
30,J000345.22-110818.64,0.9384166667,-11.13851111,COMPACT,0,,
31,J000353.27+121024.02,0.9719583333,12.17333889,2-SIDE EXTENDED,0,,
32,J000354.88-252128.04,0.9786666667,-25.35778889,2-SIDE SEPARATED,0,,
33,J000357.71+285350.89,0.9904583333,28.89746944,COMPACT,0,,
34,J000404.91-114858.33,1.020458333,-11.81620278,2-SIDE EXTENDED,0,,
35,J000416.66-290234.66,1.069416667,-29.04296111,COMPACT,0,,
36,J000425.00-325405.84,1.104166667,-32.90162222,COMPACT,0,,
37,J000504.36+542825.06,1.268166667,54.47362778,COMPACT_D,0,,
38,J000517.93-164804.49,1.324708333,-16.80124722,COMPACT_D,0,,
39,J000520.21+052410.73,1.334208333,5.402980556,COMPACT_D,0,,
40,J000528.72+522638.97,1.369666667,52.44415833,2-SIDE SEPARATED,0,,
41,J000550.07-341536.91,1.458625,-34.26025278,COMPACT,0,,
42,J000557.18+382015.12,1.48825,38.33753333,COMPACT_D,0,,
43,J000558.55-275857.77,1.493958333,-27.98271389,1-SIDE SEPARATED,0,,
44,J000559.24+160949.06,1.496833333,16.16362778,2-SIDE EXTENDED,0,,
45,J000607.38+342220.40,1.53075,34.37233333,COMPACT,0,,
46,J000613.89-062335.29,1.557875,-6.393136111,COMPACT_D,0,,
47,J000623.06+123553.11,1.596083333,12.59808611,COMPACT_D,0,,
48,J000624.26-233314.05,1.601083333,-23.55390278,2-SIDE SEPARATED,0,,
49,J000644.81+281001.83,1.686708333,28.167175,COMPACT,0,,
50,J000648.15+830110.92,1.700625,83.0197,COMPACT,0,,
51,J000659.76+492849.56,1.749,49.48043333,2-SIDE SEPARATED,0,,
52,J000731.59+655742.23,1.881625,65.96173056,COMPACT,0,,
53,J000735.23+572641.79,1.896791667,57.44494167,COMPACT,0,,
54,J000745.10+471130.53,1.937916667,47.19181389,1-SIDE SEPARATED,0,,
55,J000759.98+471207.75,1.999916667,47.20215278,COMPACT,0,,
56,J000800.37-233918.07,2.001541667,-23.65501944,COMPACT_D,0,,
57,J000809.18-394522.90,2.03825,-39.75636111,COMPACT,0,,
58,J000829.30-055845.21,2.122083333,-5.979225,2-SIDE EXTENDED,0,,
59,J000846.23+000341.07,2.192625,0.06140833333,2-SIDE SEPARATED,0,,
60,J000848.06+175048.87,2.20025,17.84690833,COMPACT,0,,
61,J000852.48-233939.72,2.218666667,-23.66103333,COMPACT,0,,
62,J000853.20+014315.24,2.221666667,1.7209,2-SIDE EXTENDED,0,,
63,J000853.29-322618.45,2.222041667,-32.43845833,COMPACT,0,,
64,J000900.54-250358.70,2.25225,-25.06630556,COMPACT,0,,
65,J000903.93+062821.30,2.266375,6.472583333,COMPACT,0,,
66,J000922.75+503028.79,2.344791667,50.50799722,COMPACT,0,,
67,J000923.18-282152.00,2.346583333,-28.36444444,COMPACT,0,,
68,J000929.69+452948.63,2.373708333,45.49684167,2-SIDE SEPARATED,0,,
69,J000931.34+441516.28,2.380583333,44.25452222,COMPACT,0,,
70,J000934.86+180343.04,2.39525,18.06195556,2-SIDE SEPARATED,0,,
71,J000935.74+534621.43,2.398916667,53.77261944,COMPACT,0,,
72,J000943.07+772441.92,2.429458333,77.41164444,COMPACT,0,,
73,J000948.19+760318.32,2.450791667,76.05508889,COMPACT,0,,
74,J000953.25+355823.45,2.471875,35.97318056,COMPACT,0,,
75,J001007.31+304519.60,2.530458333,30.75544444,2-SIDE SEPARATED,0,,
76,J001014.95+320034.18,2.562291667,32.00949444,2-SIDE SEPARATED,0,,
77,J001030.06+441242.52,2.62525,44.21181111,COMPACT_D,0,,
78,J001034.00+172418.75,2.641666667,17.40520833,COMPACT,0,,
79,J001034.91-305415.37,2.645458333,-30.90426944,COMPACT,0,,
80,J001035.73-302747.54,2.648875,-30.46320556,COMPACT_D,0,,
81,J001040.31+392911.22,2.667958333,39.48645,COMPACT,0,,
82,J001053.64-215704.28,2.7235,-21.95118889,COMPACT_D,0,,
83,J001055.28-274225.64,2.730333333,-27.70712222,COMPACT_D,0,,
84,J001100.30-330217.91,2.75125,-33.03830833,COMPACT_D,0,,
85,J001101.23-261232.04,2.755125,-26.2089,COMPACT_D,0,,
86,J001112.45+162429.30,2.801875,16.40813889,COMPACT,0,,
87,J001130.40+005751.87,2.876666667,0.9644083333,COMPACT,0,,
88,J001131.89+704531.64,2.882875,70.75878889,COMPACT_D,0,,
89,J001135.27+082355.55,2.896958333,8.398763889,COMPACT_D,0,,
90,J001135.41+454946.62,2.897541667,45.82961667,COMPACT,0,,
91,J001145.35+720042.16,2.938958333,72.01171111,COMPACT,0,,
92,J001150.47-055526.64,2.960291667,-5.924066667,COMPACT,0,,
93,J001259.90-395425.93,3.249583333,-39.90720278,COMPACT_D,0,,
94,J001301.20+491239.97,3.255,49.21110278,COMPACT_offset,0,,
95,J001301.26+425524.61,3.25525,42.92350278,COMPACT,0,,
96,J001311.79+774847.40,3.299125,77.81316667,COMPACT_D,0,,
97,J001316.46+463607.67,3.318583333,46.60213056,COMPACT,0,,
98,J001322.85+851325.01,3.345208333,85.22361389,COMPACT,0,,
99,J001331.13+405137.16,3.379708333,40.86032222,2-SIDE EXTENDED,0,,
100,J001332.44-214627.31,3.385166667,-21.77425278,COMPACT,0,,
101,J001356.38+191041.98,3.484916667,19.17832778,COMPACT,0,,
102,J001422.64-125420.22,3.594333333,-12.90561667,COMPACT,0,,
103,J001439.80+694608.75,3.665833333,69.76909722,1-SIDE SEPARATED,0,,
